id,new_date,y0,y1,y2,y3
bitcoin,2025-01-04,98029.953125,43541.28515625,16822.19140625,
bitcoin,2025-01-05,98062.7421875,43824.234375,16826.734375,
bitcoin,2025-01-06,100173.4921875,43904.421875,16821.140625,
bitcoin,2025-01-07,,44154.01953125,16940.314453125,
bitcoin,2025-01-08,,44899.671875,16946.458984375,
bitcoin,2025-01-09,,46672.60546875,17235.638671875,
bitcoin,2025-01-10,,45846.9765625,17290.6171875,
bitcoin,2025-01-11,,46600.25390625,17450.380859375,
bitcoin,2025-01-12,,45135.58984375,18387.806640625,
bitcoin,2025-01-13,,42920.97265625,19078.0546875,
bitcoin,2025-01-14,,42835.46484375,20822.4375,
bitcoin,2025-01-15,,42642.9765625,20781.630859375,
bitcoin,2025-01-16,,42954.15625,21039.994140625,
bitcoin,2025-01-17,,42734.140625,21194.62890625,
bitcoin,2025-01-18,,42249.76953125,21130.642578125,
bitcoin,2025-01-19,,41292.9453125,20857.154296875,
bitcoin,2025-01-20,,41644.2109375,21312.67578125,
bitcoin,2025-01-21,,41752.703125,22905.32421875,
bitcoin,2025-01-22,,40750.55078125,22836.302734375,
bitcoin,2025-01-23,,39426.2890625,22850.9921875,
bitcoin,2025-01-24,,39923.078125,22985.80859375,
bitcoin,2025-01-25,,39959.2265625,22730.6484375,
bitcoin,2025-01-26,,40944.0234375,23088.509765625,
bitcoin,2025-01-27,,41869.64453125,23017.33203125,
bitcoin,2025-01-28,,42308.2265625,23054.927734375,
bitcoin,2025-01-29,,42501.13671875,23466.212890625,
bitcoin,2025-01-30,,43433.5546875,23300.287109375,
bitcoin,2025-01-31,,42929.75,22976.599609375,
bitcoin,2025-02-01,,42449.5078125,23179.30859375,
bitcoin,2025-02-02,,43068.41796875,23828.220703125,
bitcoin,2025-02-03,,43119.7734375,23492.99609375,
bitcoin,2025-02-04,,42921.8984375,23409.48046875,
bitcoin,2025-02-05,,42777.97265625,23232.904296875,
bitcoin,2025-02-06,,42945.81640625,22924.236328125,
bitcoin,2025-02-07,,43269.36328125,22995.849609375,
bitcoin,2025-02-08,,44888.890625,23112.7578125,
bitcoin,2025-02-09,,46754.94921875,22551.49609375,
bitcoin,2025-02-10,,47333.90234375,21788.55859375,
bitcoin,2025-02-11,,48113.86328125,21727.333984375,
bitcoin,2025-02-12,,48749.671875,21891.37890625,
bitcoin,2025-02-13,,49622.37109375,21702.94140625,
bitcoin,2025-02-14,,50836.53125,21914.240234375,
bitcoin,2025-02-15,,52093.35546875,22698.046875,
bitcoin,2025-02-16,,52056.76171875,24597.19921875,
bitcoin,2025-02-17,,51666.65234375,24020.826171875,
bitcoin,2025-02-18,,51783.75,24636.16015625,
bitcoin,2025-02-19,,52150.01953125,24668.96875,
bitcoin,2025-02-20,,51895.21484375,24676.390625,
bitcoin,2025-02-21,,51502.88671875,24710.046875,
bitcoin,2025-02-22,,51599.6953125,24039.302734375,
bitcoin,2025-02-23,,51116.48828125,24138.478515625,
bitcoin,2025-02-24,,51214.125,23641.4453125,
